,word,CLINTON,O'MALLEY,SANDERS,Total
0,people,1.0,0.5588235294117647,1.0,1.0
1,need,0.7941176470588235,1.0,0.6774193548387096,0.9761904761904762
2,going,0.7941176470588235,0.11764705882352941,0.7419354838709677,0.6428571428571429
3,isis,0.7058823529411765,0.029411764705882353,0.5483870967741935,0.5
4,us,0.6764705882352942,0.3235294117647059,0.22580645161290322,0.4880952380952381
5,lot,0.6470588235294118,0.029411764705882353,0.2903225806451613,0.38095238095238093
6,state,0.6176470588235294,0.5294117647058824,0.5483870967741935,0.6666666666666666
7,dont,0.5882352941176471,0.08823529411764706,0.3225806451612903,0.39285714285714285
8,president,0.5,0.14705882352941177,0.22580645161290322,0.34523809523809523
9,work,0.5,0.29411764705882354,0.3225806451612903,0.44047619047619047
10,im,0.47058823529411764,0.11764705882352941,0.4838709677419355,0.4166666666666667
11,country,0.47058823529411764,0.35294117647058826,0.7096774193548387,0.5952380952380952
12,coalition,0.47058823529411764,0.0,0.22580645161290322,0.2857142857142857
13,american,0.4411764705882353,0.4117647058823529,0.41935483870967744,0.5
14,part,0.4411764705882353,0.029411764705882353,0.03225806451612903,0.20238095238095238
15,back,0.4411764705882353,0.14705882352941177,0.16129032258064516,0.2976190476190476
16,right,0.4117647058823529,0.11764705882352941,0.5806451612903226,0.42857142857142855
17,make,0.4117647058823529,0.29411764705882354,0.3225806451612903,0.40476190476190477
18,also,0.4117647058823529,0.23529411764705882,0.12903225806451613,0.30952380952380953
19,senator,0.4117647058823529,0.14705882352941177,0.03225806451612903,0.23809523809523808
20,try,0.4117647058823529,0.029411764705882353,0.03225806451612903,0.19047619047619047
21,health,0.38235294117647056,0.08823529411764706,0.41935483870967744,0.34523809523809523
22,applause,0.38235294117647056,0.17647058823529413,0.6774193548387096,0.47619047619047616
23,put,0.38235294117647056,0.20588235294117646,0.12903225806451613,0.2857142857142857
24,ive,0.35294117647058826,0.08823529411764706,0.0,0.17857142857142858
25,care,0.35294117647058826,0.029411764705882353,0.41935483870967744,0.30952380952380953
26,gun,0.35294117647058826,0.14705882352941177,0.4838709677419355,0.38095238095238093
27,together,0.35294117647058826,0.3235294117647059,0.3548387096774194,0.40476190476190477
28,families,0.35294117647058826,0.20588235294117646,0.16129032258064516,0.2857142857142857
29,system,0.35294117647058826,0.0,0.1935483870967742,0.21428571428571427
30,security,0.35294117647058826,0.14705882352941177,0.03225806451612903,0.21428571428571427
31,new,0.35294117647058826,0.47058823529411764,0.25806451612903225,0.42857142857142855
32,got,0.3235294117647059,0.14705882352941177,0.7096774193548387,0.4523809523809524
33,thats,0.3235294117647059,0.2647058823529412,0.1935483870967742,0.30952380952380953
34,plan,0.3235294117647059,0.11764705882352941,0.03225806451612903,0.19047619047619047
35,important,0.3235294117647059,0.0,0.0967741935483871,0.16666666666666666
36,syria,0.3235294117647059,0.08823529411764706,0.0967741935483871,0.20238095238095238
37,really,0.29411764705882354,0.0,0.03225806451612903,0.13095238095238096
38,help,0.29411764705882354,0.029411764705882353,0.0967741935483871,0.16666666666666666
39,republican,0.29411764705882354,0.058823529411764705,0.06451612903225806,0.16666666666666666
40,everybody,0.29411764705882354,0.0,0.03225806451612903,0.13095238095238096
41,sanders,0.2647058823529412,0.14705882352941177,0.03225806451612903,0.17857142857142858
42,way,0.2647058823529412,0.35294117647058826,0.16129032258064516,0.30952380952380953
43,take,0.2647058823529412,0.029411764705882353,0.0967741935483871,0.15476190476190477
44,enforcement,0.2647058823529412,0.058823529411764705,0.0,0.13095238095238096
45,governor,0.2647058823529412,0.058823529411764705,0.2903225806451613,0.23809523809523808
46,law,0.2647058823529412,0.08823529411764706,0.0,0.14285714285714285
47,believe,0.23529411764705882,0.2647058823529412,0.5161290322580645,0.39285714285714285
48,ground,0.23529411764705882,0.029411764705882353,0.0967741935483871,0.14285714285714285
49,united,0.23529411764705882,0.17647058823529413,0.3870967741935484,0.30952380952380953
50,keep,0.23529411764705882,0.029411764705882353,0.03225806451612903,0.11904761904761904
51,college,0.23529411764705882,0.17647058823529413,0.3225806451612903,0.2857142857142857
52,theyre,0.23529411764705882,0.058823529411764705,0.3548387096774194,0.25
53,council,0.23529411764705882,0.0,0.0,0.09523809523809523
54,point,0.23529411764705882,0.0,0.1935483870967742,0.16666666666666666
55,move,0.23529411764705882,0.17647058823529413,0.0967741935483871,0.20238095238095238
56,number,0.23529411764705882,0.029411764705882353,0.16129032258064516,0.16666666666666666
57,first,0.23529411764705882,0.14705882352941177,0.3225806451612903,0.27380952380952384
58,issue,0.23529411764705882,0.3235294117647059,0.6129032258064516,0.4523809523809524
59,hard,0.23529411764705882,0.029411764705882353,0.03225806451612903,0.11904761904761904
60,kind,0.23529411764705882,0.0,0.16129032258064516,0.15476190476190477
61,give,0.23529411764705882,0.11764705882352941,0.03225806451612903,0.15476190476190477
62,assad,0.23529411764705882,0.08823529411764706,0.2903225806451613,0.23809523809523808
63,making,0.23529411764705882,0.08823529411764706,0.06451612903225806,0.15476190476190477
64,government,0.23529411764705882,0.058823529411764705,0.03225806451612903,0.13095238095238096
65,weve,0.23529411764705882,0.08823529411764706,0.22580645161290322,0.21428571428571427
66,yes,0.23529411764705882,0.08823529411764706,0.3225806451612903,0.25
67,end,0.20588235294117646,0.0,0.16129032258064516,0.14285714285714285
68,gadhafi,0.20588235294117646,0.029411764705882353,0.03225806451612903,0.10714285714285714
69,libya,0.20588235294117646,0.029411764705882353,0.0,0.09523809523809523
70,hampshire,0.20588235294117646,0.029411764705882353,0.12903225806451613,0.14285714285714285
71,economy,0.20588235294117646,0.3235294117647059,0.25806451612903225,0.30952380952380953
72,cost,0.20588235294117646,0.029411764705882353,0.1935483870967742,0.16666666666666666
73,build,0.20588235294117646,0.0,0.0,0.08333333333333333
74,sure,0.20588235294117646,0.029411764705882353,0.0967741935483871,0.13095238095238096
75,getting,0.20588235294117646,0.029411764705882353,0.22580645161290322,0.17857142857142858
76,thing,0.20588235294117646,0.4117647058823529,0.1935483870967742,0.32142857142857145
77,pay,0.20588235294117646,0.11764705882352941,0.16129032258064516,0.19047619047619047
78,see,0.20588235294117646,0.029411764705882353,0.16129032258064516,0.15476190476190477
79,un,0.20588235294117646,0.029411764705882353,0.0,0.09523809523809523
80,safe,0.20588235294117646,0.11764705882352941,0.0,0.13095238095238096
81,talking,0.20588235294117646,0.058823529411764705,0.03225806451612903,0.11904761904761904
82,begin,0.20588235294117646,0.0,0.03225806451612903,0.09523809523809523
83,campaign,0.20588235294117646,0.058823529411764705,0.41935483870967744,0.2619047619047619
84,made,0.17647058823529413,0.14705882352941177,0.03225806451612903,0.14285714285714285
85,year,0.17647058823529413,0.38235294117647056,0.3870967741935484,0.36904761904761907
86,hope,0.17647058823529413,0.0,0.12903225806451613,0.13095238095238096
87,world,0.17647058823529413,0.20588235294117646,0.1935483870967742,0.2261904761904762
88,raise,0.17647058823529413,0.029411764705882353,0.0967741935483871,0.11904761904761904
89,troops,0.17647058823529413,0.0,0.1935483870967742,0.14285714285714285
90,forward,0.17647058823529413,0.29411764705882354,0.12903225806451613,0.23809523809523808
